"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITE31","Pesaro e Urbino","ART","total area - hectares","SOYA","soya beans","2015","2015",15,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",2419184,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",2841018,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",1569652,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",3242715,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",5459730,,
"ITD3","Veneto","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",4598624,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2010","2010",6700,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2011","2011",7035,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2012","2012",7035,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2013","2013",8137,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2014","2014",12000,,
"ITD31","Verona","ART","total area - hectares","SOYA","soya beans","2015","2015",13770,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",18250,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",11640,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",8880,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",11400,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",20820,,
"ITD52","Parma","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",34650,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",25019,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",18034,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",23273,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",25740,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",25567,,
"ITC46","Bergamo","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",61824,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2010","2010",22961,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2011","2011",24351,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2012","2012",15130,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2013","2013",20993,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2014","2014",25251,,
"ITD5","Emilia-Romagna","ART","total area - hectares","SOYA","soya beans","2015","2015",37728,,
"ITE19","Siena","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",480,,
"ITE19","Siena","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",160,,
"ITE19","Siena","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",163,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",340,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",710,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",750,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",940,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",3008,,
"ITD33","Belluno","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",5925,,
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2010","2010",82,"e","estimate data"
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2011","2011",82,"e","estimate data"
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2012","2012",40,,
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2013","2013",50,,
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2014","2014",40,,
"ITE43","Roma","ART","total area - hectares","SOYA","soya beans","2015","2015",50,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",5538111,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",5742332,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",4227897,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",6376352,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",9577256,,
"IT","Italy","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",11377074,,
"ITE42","Rieti","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",2500,,
"ITE42","Rieti","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",1500,,
"ITE42","Rieti","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",750,,
"ITE42","Rieti","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",600,,
